         26329217 function calls (26046623 primitive calls) in 18.219 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.008    0.008   18.266   18.266 main.py:135(main)
 6939/381    0.019    0.000   10.542    0.028 traceback_util.py:175(reraise_with_filtered_traceback)
      400    0.001    0.000   10.172    0.025 pathPlanning.py:258(update_path)
        1    0.000    0.000   10.148   10.148 pathPlanning.py:625(optimize_next_best_measurement_distance_constrained)
19195/18156    0.027    0.000    9.719    0.001 profiler.py:332(wrapper)
       52    0.000    0.000    8.443    0.162 api.py:644(grad_f)
       52    0.001    0.000    8.430    0.162 api.py:702(value_and_grad_f)
      112    0.044    0.000    7.351    0.066 pathPlanning.py:374(objective_function_for_best_measurement_dist_constrained)
        2    0.000    0.000    7.200    3.600 pathPlanning.py:740(run_optimization)
        2    0.000    0.000    7.199    3.600 pyIPOPT.py:92(__call__)
        2    0.027    0.014    7.196    3.598 {method 'solve' of 'pyipoptcore.Problem' objects}
      224    0.002    0.000    7.168    0.032 pyOpt_optimizer.py:202(_masterFunc)
66921/41778    0.062    0.000    7.166    0.000 core.py:424(bind_with_trace)
  226/224    0.004    0.000    7.156    0.032 pyOpt_optimizer.py:326(_masterFunc2)
 1021/449    0.021    0.000    6.541    0.015 linear_util.py:178(call_wrapped)
       51    0.000    0.000    6.512    0.128 pathPlanning.py:668(sens)
       79    0.001    0.000    6.501    0.082 main.py:30(plot_scene)
       53    0.000    0.000    6.450    0.122 pyIPOPT.py:225(eval_grad_f)
       52    0.000    0.000    6.319    0.122 api.py:2199(_vjp)
       52    0.000    0.000    6.316    0.121 ad.py:141(vjp)
       52    0.000    0.000    6.316    0.121 ad.py:120(linearize)
    97/53    0.000    0.000    6.315    0.119 partial_eval.py:766(trace_to_jaxpr_nounits)
6376/6047    0.014    0.000    5.949    0.001 pjit.py:296(cache_miss)
6376/6047    0.030    0.000    5.886    0.001 pjit.py:165(_python_pjit_helper)
21869/10699    0.032    0.000    5.575    0.001 core.py:2782(bind)
41446/39481    0.038    0.000    5.085    0.000 core.py:912(process_primitive)
    10363    0.444    0.000    3.990    0.000 pjit.py:1467(_pjit_call_impl)
      243    0.002    0.000    3.440    0.014 pjit.py:1470(call_impl_cache_miss)
      243    0.002    0.000    3.430    0.014 pjit.py:1394(_pjit_call_impl_python)
      336    0.027    0.000    3.070    0.009 pathPlanning.py:24(next_measurement_covariance)
       79    0.000    0.000    2.948    0.037 figure.py:3234(savefig)
       79    0.001    0.000    2.947    0.037 backend_bases.py:2052(print_figure)
       79    0.000    0.000    2.933    0.037 backend_bases.py:2043(<lambda>)
       79    0.000    0.000    2.933    0.037 backend_agg.py:450(print_png)
       79    0.000    0.000    2.933    0.037 backend_agg.py:440(_print_pil)
       18    0.001    0.000    2.925    0.163 pathPlanning.py:915(plot_objective_and_constraint)
       18    1.278    0.071    2.825    0.157 pathPlanning.py:300(objective_function)
45052/31794    0.034    0.000    2.688    0.000 core.py:419(bind)
10797/10660    0.028    0.000    2.625    0.000 ad.py:308(process_primitive)
      243    0.001    0.000    2.502    0.010 pxla.py:2367(compile)
      234    0.007    0.000    2.501    0.011 pxla.py:2856(from_hlo)
      234    0.004    0.000    2.469    0.011 pxla.py:2652(_cached_compilation)
      234    0.004    0.000    2.421    0.010 compiler.py:240(compile_or_get_cached)
      234    0.001    0.000    2.366    0.010 compiler.py:491(_compile_and_write_cache)
       79    0.000    0.000    2.363    0.030 backend_agg.py:381(draw)
      234    2.352    0.010    2.362    0.010 compiler.py:215(backend_compile)
       79    0.000    0.000    2.358    0.030 artist.py:93(draw_wrapper)
 16000/79    0.022    0.000    2.358    0.030 artist.py:54(draw_wrapper)
       79    0.001    0.000    2.358    0.030 figure.py:3134(draw)
   176/79    0.002    0.000    2.326    0.029 image.py:114(_draw_list_compositing_images)
       97    0.001    0.000    2.326    0.024 _base.py:3005(draw)
9804/9803    0.170    0.000    2.325    0.000 array_methods.py:259(deferring_binary_op)
4806/4802    0.007    0.000    2.321    0.000 array_methods.py:735(op)
